,URL,Positive Words,Negative Words,Polarity Score,Word Count
67,https://techcrunch.com/2022/06/07/indian-edtech-physicswallah-becomes-unicorn-with-100-million-series-a-funding/,19,4,0.6521749130434783,332
68,https://techcrunch.com/2022/06/06/wealthy-crypto-digital-assets-investors-asia-2022/,10,2,0.6666676666666667,284
69,https://techcrunch.com/2022/06/06/indonesian-crypto-trading-app-pintu-scores-113m-series-b/,11,1,0.8333343333333334,342
70,https://techcrunch.com/2022/06/06/sheryl-sandberg-a-source-of-inspiration-for-f7-ventures-general-partners-as-they-deploy-first-fund/,7,4,0.2727282727272727,307
71,https://techcrunch.com/2022/06/06/axons-ai-ethics-board-resigns-over-plan-to-surveil-schools-with-armed-drones/,17,22,-0.1282041282051282,539
72,https://techcrunch.com/2022/06/06/endurance-events-marketplace-lets-do-this-raises-60m-series-b-led-by-craft-and-headline/,8,1,0.7777787777777778,233
73,https://techcrunch.com/2022/06/06/india-considering-appeals-panel-with-power-to-reverse-facebook-twitter-and-youtube-content-moderation-decisions/,6,5,0.09091009090909091,218
74,https://techcrunch.com/2022/06/06/daily-crunch-apple-unveils-new-products-at-wwdc/,5,4,0.1111121111111111,193
75,https://techcrunch.com/2022/06/06/mfs-africa-acquires-gts-for-34m-as-it-looks-to-issue-prepaid-cards-to-its-clients/,4,3,0.14285814285714285,269
76,https://techcrunch.com/2022/06/06/max-q-suit-yourself/,3,3,1e-06,230
77,https://techcrunch.com/2022/06/06/apples-widgetkit-update-lets-developers-build-for-the-lock-screen-and-watch-with-the-same-code/,7,0,1.000001,279
78,https://techcrunch.com/2022/06/06/texas-twitter-bots-elon-musk-ken-paxton/,12,12,1e-06,320
79,https://techcrunch.com/2022/06/06/the-touch-bar-lives-on-the-m2-macbook-pro/,2,3,-0.199999,123
80,https://techcrunch.com/2022/06/06/finally-apples-ipad-has-a-default-weather-app/,5,2,0.4285724285714285,358
81,https://techcrunch.com/2022/06/06/freeform-is-apples-take-on-a-digital-whiteboard/,2,1,0.3333343333333333,99
82,https://techcrunch.com/2022/06/06/hands-on-with-apples-m2-macbook-air/,11,3,0.5714295714285714,222
83,https://techcrunch.com/2022/06/06/the-stock-market-impact-of-apples-wwdc-keynote/,0,6,-0.999999,201
84,https://techcrunch.com/2022/06/06/apple-challenges-google-for-a-larger-slice-of-your-dashboard/,7,2,0.5555565555555556,233
85,https://techcrunch.com/2022/06/06/apple-passkeys-look-to-kill-off-the-password-for-good/,9,8,0.058824529411764706,251
86,https://techcrunch.com/2022/06/06/solid-powers-pilot-production-line-brings-road-tripping-solid-state-batteries-closer-to-reality/,10,3,0.5384625384615385,305
87,https://techcrunch.com/2022/06/06/us-battery-production-enters-new-era-as-solid-powers-pilot-production-line-debuts/,8,1,0.7777787777777778,205
88,https://techcrunch.com/2022/06/06/learn-how-to-reduce-your-cloud-computing-carbon-footprint-at-tc-sessions-climate-with-platfrom-sh/,3,1,0.500001,180
89,https://techcrunch.com/2022/06/06/apple-laptop-camera/,10,14,-0.16666566666666666,180
90,https://techcrunch.com/2022/06/06/apple-continuity-camera-iphone-webcam-belkin/,10,1,0.8181828181818183,145
91,https://techcrunch.com/2022/06/06/apple-unveils-ipados-16-with-beefed-up-multitasking-features/,8,4,0.3333343333333333,377
92,https://techcrunch.com/2022/06/06/ios-16s-mail-app-will-now-let-you-schedule-your-email-and-undo-sending/,4,0,1.000001,180
93,https://techcrunch.com/2022/06/06/so-you-have-a-380x-revenue-multiple-now-what/,4,7,-0.27272627272727273,144
94,https://techcrunch.com/2022/06/06/apple-macbook-pro-13-inch-with-m2/,5,0,1.000001,123
95,https://techcrunch.com/2022/06/06/apple-announces-the-m2/,5,0,1.000001,205
96,https://techcrunch.com/2022/06/06/agrotools-farming-for-ma-with-new-21m-funding-round/,4,3,0.14285814285714285,208
